# Generated by tools/agent/objdiff_report.py --update-inventory.
# address	size	name
0x08000000	0x4	entry_branch
0x08003604	0x64	Scene17_TileCheck
0x08003668	0x1fc	Scene_UpdateCollisionAndTile
0x08003864	0x2dc	GameMode_Scene18
0x08003b40	0x4c	Mode11_SetupEntities
0x08003b8c	0x70	Mode12_Init
0x08003bfc	0x3a	Scene_InitHitboxes
0x08003c38	0x64	Mode12_SetupAndUpdate
0x08003c9c	0xa	sub_08003C9C
0x08003ca8	0x3cc	GameMode_Scene19
0x08004074	0xc	SetGameMode_12
0x08004080	0x44	Mode13_Init
0x080040c4	0x28	Mode_RunFrameBasic
0x080040ec	0x16	State_ValidateOrReset
0x08004104	0x18	Mode_ReturnToMap
0x0800411c	0x300	SceneLoop_20
0x0800441c	0x54	Mode13_SetupEntities
0x08004470	0x34	Scene14_Init
0x080044a4	0x64	Scene_FrameUpdateWithLayers
0x08004508	0x80	Scene20_UpdateParts
0x08004588	0x58	TileCacheProbe_Init
0x080045e0	0xa	sub_080045E0
0x080045ec	0x34c	Player_HandleTileTransitions
0x08004938	0x2cc	SceneLoop_21
0x08004c04	0x2c	Mode14_Setup
0x08004c30	0x34	Mode15_Setup
0x08004c64	0x40	Mode17_RunFrame
0x08004ca4	0x60	Mode_InitEntityState
0x08004d04	0xa	Mode_EndScene
0x08004d10	0x29c	SpawnCycle_Update
0x08004fac	0x314	SceneLoop_22
0x080052c0	0xc	SetGameMode_15
0x080052cc	0x3c	Mode16_Init
0x08005308	0x44	Game_StepFrame
0x0800534c	0x58	Gate_TryUnlock
0x080053a4	0x50	Gate_ResetSceneState
0x080053f4	0xe	Gate_FinishScene
0x08005404	0xa4	Entity_UpdateHitAndDraw
0x080054a8	0x3c4	GameMode_Scene23
0x0800586c	0x24	Stage_InitMode16
0x08005890	0x3c	Stage_InitMode17
0x080058cc	0x30	Stage_UpdateTick
0x080058fc	0x64	Stage_ResetPlayerSlots
0x08005960	0x50	Stage_WaitAndResetSpawnFlags
0x080059b0	0x14	Scene_ExitSequence
0x080059c4	0x34c	Entity_Update
0x08005d10	0x1c8	Entity_AdvanceAnimFrames
0x08005ed8	0x76	Anim_GetFrameHeight
0x08005f50	0x78	Anim_GetFrameWidth
0x08005fc8	0x424	Game_CommitRender
0x080063ec	0x12c	Entity_DmaLoadSprite
0x08006518	0x74	DeadTileSizeClone_08006518
0x0800658c	0x72	ModeControl_Init
0x08006600	0xc4	CtrlFlags_SetBit
0x080066c4	0xd6	ModeControl_ClearBit
0x0800679c	0x94	ModeControl_GetFlag
0x08006830	0xdc	CtrlFlags_ReadBitRange
0x0800690c	0x2e	Entity_InitMotionFields
0x0800693c	0xc	Entity_OrFlags
0x08006948	0xe	EntityRec_ClearKeyFlags
0x08006958	0x14	EntityRec_TestKeyFlags
0x0800696c	0x50	ModeControl_SetBit
0x080069bc	0x50	EventFlags_ClearBit
0x08006a0c	0x68	Input_DetectHold
0x08006a74	0x36	PlayerState_Init
0x08006aac	0xc	PlayerState_SetByte
0x08006ab8	0x24	PlayerState_IncrByteMax10
0x08006adc	0x20	Timer_DecrByte
0x08006afc	0x24	Timer_IncrS16Max99
0x08006b20	0x20	Timer_IncrS16Wrap
0x08006b40	0x24	Timer_IncrByteMax12
0x08006b64	0x22	Timer_IncrementCheckNeg
0x08006b88	0xc	PlayerFlags_Set
0x08006b94	0xe	IwramFlags_Clear
0x08006ba4	0x10	IsFlagMaskSet
0x08006bb4	0x16e	EntityScript_BuildSlotData
0x08006d24	0x168	Entity_TickCells
0x08006e8c	0x160	Entity_ApplyGridMovement
0x08006fec	0xb4	Entity_CheckEngage
0x080070a0	0x98	Entity_ApplyScrollStep
0x08007138	0xf0	CollisionTable_ScanForPlayer
0x08007228	0xb8	LoadPartEntry
0x080072e0	0x8c	EntityScript_Advance
0x0800736c	0x2f4	CollisionTable_CheckAndTriggerScript
0x08007660	0x44	Entity_RunScript
0x080076a4	0x70	Rect_PointInCenterRect
0x08007714	0x98	Rect_PointInCenterRectEx
0x080077ac	0xc8	Entity_SpawnFromConfig
0x08007874	0xc8	Entity_SpawnFromRecord
0x0800793c	0x494	Player_ProbeSpawnDir
0x08007dd0	0x1b8	Entity_ProcessEvents
0x08007f88	0xb4	Entity_CheckAtTarget
0x0800803c	0x138	Entity_MoveTowardTarget
0x08008174	0x3fc	Player_UpdatePhysics
0x08008570	0x242	Entity_UpdateJumpTarget
0x080087b4	0xa6	Entity_LerpPosition
0x0800885c	0x148	Entity_CheckTouchEnemy
0x080089a4	0xb8	Entity_GetDirHitbox
0x08008a5c	0x428	sub_08008A5C
0x08008e84	0x114	Entity_ProbeDir
0x08008f98	0xf4	Player_FindNearbyInteractable
0x0800908c	0x24	Player_CheckReachable
0x080090b0	0x4c	Player_UpdateTileCache
0x080090fc	0x44	Player_InitEntity
0x08009140	0x48	Player_NormalizeStatusAndUpdate
0x08009188	0x370	Entity_Advance
0x080094f8	0x304	Entity_CheckAllCollisions
0x080097fc	0x86	Entity_BBoxOverlap
0x08009884	0x100	Player_HandleTileCollision
0x08009984	0xd4	Player_CheckTileEvents
0x08009a58	0x148	Entity_UpdateVisibility
0x08009ba0	0x72	Player_CheckSpecialTileMatch
0x08009c14	0xa8	Scene_EntityTick
0x08009cbc	0xe0	EntityDispatch_RunFrame
0x08009d9c	0x150	Scene_InitScan
0x08009eec	0x170	Entity_UpdateFrame
0x0800a05c	0xa8	EntityPool_Reset
0x0800a104	0x52	RunFadeTransition
0x0800a158	0x70	Entity_RectOverlap
0x0800a1c8	0x4c	EntityParam_Reset
0x0800a214	0x44	Scene_SelectEntityLimit
0x0800a258	0x14	EntityParam_Apply
0x0800a26c	0x6c	Entity_DispatchBC
0x0800a2d8	0x50	Game_RunEntityFrame
0x0800a328	0x7c	Game_ForceRender
0x0800a3a4	0x2c	CmpPair_Compare
0x0800a3d0	0x88	Scroll_CheckTileStep
0x0800a458	0x78	Scroll_StepTowardTile
0x0800a4d0	0x50	Entity_UpdateSlot1Status
0x0800a520	0x1e	Game_UpdateSubsystems
0x0800a540	0x40	Entity_InitShadow
0x0800a580	0x18e	MotionDesc_Set
0x0800a710	0x4a	Entity_Init
0x0800a75c	0xc	Entity_SetFlags
0x0800a768	0xe	Entity_ClearFlags
0x0800a778	0x10	Entity_TestFlags
0x0800a788	0x10	Entity_SetTargetPos
0x0800a798	0x10	Entity_ClearTargetFlag
0x0800a7a8	0x92	EntityHitbox_FindPoint
0x0800a83c	0xd4	EntityHitbox_RegisterGridPoints
0x0800a910	0xc4	Frog_UpdateContactHitboxes
0x0800a9d4	0x9c	TileCacheProbe_HandleTile20
0x0800aa70	0x114	Gate_HandleGateTile
0x0800ab84	0xc0	FrogPad_CheckTile
0x0800ac44	0xa4	TileCollect_OnStep
0x0800ace8	0x154	TileArrival_UpdateModeFlags
0x0800ae3c	0x114	Gate_OnTileStep
0x0800af50	0x12c	Entity_InitHitboxSlots
0x0800b07c	0xfc	Gate_PollResult
0x0800b178	0x638	Entity_BlitAndCheckTiles
0x0800b7b0	0xf8	Entity_UpdateHitboxSlots
0x0800b8a8	0x70	Entity_ActivateHitSlot
0x0800b918	0x500	Entity_UpdateHitboxWithTile
0x0800be18	0xa4	Entity_SetupHitboxSlots
0x0800bebc	0x68	EntityHitbox_RegisterHit
0x0800bf24	0x384	Entity_ScanHitboxAndBlit
0x0800c2a8	0x28	EntityHitbox_GetPoint
0x0800c2d0	0x88	EntityHitbox_RegisterHitPoint
0x0800c358	0x8c	Frog_ProcessTileContact
0x0800c3e4	0x60	UpdateSceneGate
0x0800c444	0x5c	Scene_OnPlayerStepTile20
0x0800c4a0	0x40	Stage_BuildActiveSlotMask
0x0800c4e0	0x2	EntityProc_Nop
0x0800c4e4	0x2	EntityProcE_Nop
0x0800c4e8	0x48e	sub_0800C4E8
0x0800c978	0x206	SpriteGrid_GetNeighborTile
0x0800cb80	0x68	SpriteGrid_SetCellFlags
0x0800cbe8	0x68	BgMap_WriteTileAttr
0x0800cc50	0x68	SpriteGrid_SetBit14
0x0800ccb8	0x68	SpriteGrid_SetBits13_12
0x0800cd20	0x68	SpriteGrid_SetBits11_10
0x0800cd88	0x44	Tilemap_GetTileClass
0x0800cdcc	0x44	SpriteAsset_GetCellFlag
0x0800ce10	0x44	SpriteAsset_GetTileAttr
0x0800ce54	0x44	TileCell_GetPropertyB
0x0800ce98	0x38	SpriteAsset_LoadSheet
0x0800ced0	0x10c	Rect_PointInRect
0x0800cfdc	0x4c	Rect2_ContainsPoint
0x0800d028	0x48	Entity_IsInProximity
0x0800d070	0x88	PadGrid_StepPackedCoord
0x0800d0f8	0x100	PadGrid_PlaceEntities
0x0800d1f8	0x78	GateRoom_TickFrogUpdate
0x0800d270	0x50	TileMap_GetCell
0x0800d2c0	0x190	PadGrid_DeactivateEntityAtPos
0x0800d450	0x3b8	PadGrid_FillGrid
0x0800d808	0x98	PadGrid_RemoveRandom
0x0800d8a0	0x84	SpawnControl_Dispatch
0x0800d924	0xa4	PadGrid_ScanMaskToCoord
0x0800d9c8	0x34	PadGrid_RandomizeAndSyncEntityCoords
0x0800d9fc	0x14	SpriteAnim_GetPermIndex
0x0800da10	0x60	GateRoom_ResetState
0x0800da70	0x46	FilterValidBits
0x0800dab8	0x4c	IsTileSolid
0x0800db04	0x138	PadGrid_SlotToCoord
0x0800dc3c	0x14	sub_0800DC3C
0x0800dc50	0x130	EntitySpawnDriver
0x0800dd80	0x8c	WorldMap_Init
0x0800de0c	0x74	EntityProcE_Settle
0x0800de80	0xfc	Game_FrameEnd
0x0800df7c	0x20	EntityProcE_Dispatch
0x0800df9c	0xe	EntityProcE_Init
0x0800dfac	0x50	EntityProcE_Run
0x0800dffc	0x18	Fixed8Mul
0x0800e014	0x1c	Fixed16Mul
0x0800e030	0x16	Fixed8Div
0x0800e048	0x18	Fixed16Recip
0x0800e060	0x114	Scene_LoadBg
0x0800e174	0x348	UpdateBgTilemapFrames
0x0800e4bc	0x142	AnimCtrl_RunPhase
0x0800e600	0xa8	Scene08_MapScreenInit
0x0800e6a8	0xc4	Scene_FadeUpdate
0x0800e76c	0x68	text_0800e76c
0x0800e7d4	0x7c	SetModeBlendRegs
0x0800e850	0xa	text_0800e850
0x0800e85c	0x2c0	CharLayers_Upload
0x0800eb1c	0xc0	FrogOam_Init
0x0800ebdc	0x258	BgScrollBlit
0x0800ee34	0x60	BgLayer_Disable
0x0800ee94	0x54	BgLayer_Enable
0x0800eee8	0x6e	Bg_SetLayersByMode
0x0800ef58	0x38	SceneReset
0x0800ef90	0x38	Scene_DisableBg2
0x0800efc8	0x2c	SceneInit_WithHud
0x0800eff4	0x20	SceneInit
0x0800f014	0x100	InitScreenBgGraphics
0x0800f114	0x118	InitCharacterBgGraphics
0x0800f22c	0x1e	InitAllBgTilemapLayers
0x0800f24c	0xac	Scroll_UpdateCamera
0x0800f2f8	0xa0	SaveBgScrollOffset
0x0800f398	0x47c	ScrollUpdate_Pass1
0x0800f814	0x4b4	ScrollUpdate_Pass0
0x0800fcc8	0x1a	Scroll_RunSubtypeTicks
0x0800fce4	0x34	GetEwramBuffer
0x0800fd18	0x38	GetVramTilemapBuffer
0x0800fd50	0xc0	Scene08_MapScreenTick
0x0800fe10	0x78	Credits_WriteRow
0x0800fe88	0x25c	Credits_RenderStep
0x080100e4	0x178	Scroll_FlushTilemapWindow
0x0801025c	0x354	ScaleAnim_BlitFrameToVram
0x080105b0	0xe4	Blit_CopyEntry
0x08010694	0x24	Blend_StartFade
0x080106b8	0x34	Blend_StepFade
0x080106ec	0x24	Screen_BeginFlash
0x08010710	0x30	Screen_TickFlash
0x08010740	0x38	Render_UpdateBlendRegs
0x08010778	0x58	Pal_RotateEntries
0x080107d0	0xa0	Render_DmaLoadTileset
0x08010870	0x2a	WrapBufPtr
0x0801089c	0x5c	Anim_AdvanceFrameStep
0x080108f8	0x60	Anim_TickFrame
0x08010958	0xec	ModeChannel_Apply
0x08010a44	0x394	Scroll_TickChannels
0x08010dd8	0x18c	Scroll_PrepareBlitWork
0x08010f64	0x324	Scroll_TickBlitDir
0x08011288	0x14	sub_08011288
0x0801129c	0x24	Scroll_ResetDirStep
0x080112c0	0x128	BlitFrameCell
0x080113e8	0x90	GenRandomTileMask
0x08011478	0xa0	Blit_ApplyFlaggedRecords
0x08011518	0x5c	Selector_InitState
0x08011574	0x84	Selector_StepBlitAnim
0x080115f8	0xc0	Selector_RunAnimSequence
0x080116b8	0x1a4	Selector_BlitStateMachine
0x0801185c	0x28	GetVcountRandom
0x08011884	0x54	Anim_CheckScreenIdle
0x080118d8	0x24	Selector_InitScene
0x080118fc	0x10	Selector_Update
0x0801190c	0x6c	Selector_StepScroll
0x08011978	0xa	Selector_VblankTick
0x08011984	0x120	Selector_BlitTiles
0x08011aa4	0x39c	Selector_UpdateBlit
0x08011e40	0x258	Selector_TriggerWindowReveal
0x08012098	0x68	Selector_StepColorFade
0x08012100	0x80	Selector_ResetState
0x08012180	0xbc	UpdateScrollFromAnimChannels
0x0801223c	0xa8	InitScrollAnimSequence
0x080122e4	0x1ec	RunScrollTransitionSequence
0x080124d0	0x34	AnimChannels_Reset
0x08012504	0x48	sub_08012504
0x0801254c	0x10	UpdateScrollTransition
0x0801255c	0x2a	InitScrollScene
0x08012588	0x28	SetupBlendRegs
0x080125b0	0x3c	sub_080125B0
0x080125ec	0x18	ScaleAnim_ResetState
0x08012604	0x60	TickScrollAnimUntilDone
0x08012664	0x134	PickEntitySpawnPos
0x08012798	0xf4	BlitEntityTileFrame0
0x0801288c	0xf0	BlitEntityTileFrame1
0x0801297c	0xf0	BlitEntityTileFrame2
0x08012a6c	0xcc	ScaleBlit_Tick
0x08012b38	0x24	LoadScreenTilemap_188EDC
0x08012b5c	0x1c	ScrollState_Reset
0x08012b78	0x3c	Scene_Init2Layer
0x08012bb4	0xe	sub_08012BB4
0x08012bc4	0xe8	Tilemap_BlitTileRows
0x08012cac	0x94	BgScrollAnim_Update
0x08012d40	0x48	BgScrollAnim_Init
0x08012d88	0x78	Scene_TickScrollAndBlend
0x08012e00	0x2a	Scene_InitFull
0x08012e2c	0x38	BgScrollAnim_InitPartial
0x08012e64	0x70	Scene_UpdateWithBlend
0x08012ed4	0x2a	Scene_InitLayers
0x08012f00	0xa0	RemapInputBits
0x08012fa0	0xa0	ScaleAnim_ClearActiveBits
0x08013040	0xcc	ScaleAnim_TickFrames
0x0801310c	0x1da	ScaleAnim_SyncSelectors
0x080132e8	0x2d0	ScaleAnim_BlitSceneLayers
0x080135b8	0xdc	Selector_StepScrollAxes
0x08013694	0xe8	BgScroll_Step
0x0801377c	0xac	BgLayer_Init
0x08013828	0x58	ScaleAnim_Reset
0x08013880	0x16	BgLayer_InitAndCommit
0x08013898	0x70	ScaleAnim_UpdateFrame
0x08013908	0x18	AnimTile_ResetAndClearBg
0x08013920	0x60	Array_ThrottledRotate
0x08013980	0x3c	ScaleAnim_BlitDescIdx0
0x080139bc	0x3c	ScaleAnim_BlitDescIdx1
0x080139f8	0x3c	ScaleAnim_BlitFromTable1
0x08013a34	0x3c	ScaleAnim_BlitFromTable2Bank0
0x08013a70	0x3c	ScaleAnim_BlitFromTable2Bank2
0x08013aac	0x3c	BlitTilemapFromScaleAnimEntry
0x08013ae8	0x6c	BgScrollState_Enter
0x08013b54	0x50	ResetBgAnimState
0x08013ba4	0xbc	BgScrollDmaUpdate
0x08013c60	0x74	DmaJob_Advance
0x08013cd4	0x48	DmaQueueAdvanceCursor
0x08013d1c	0x28	InitScene3Layer
0x08013d44	0x90	BgBlendTilemapUpdate
0x08013dd4	0x28	InitScene2LayerA
0x08013dfc	0x98	PopulateRasterScrollBuffer
0x08013e94	0x98	Deck_DealRandom
0x08013f2c	0x30	Deck_Init
0x08013f5c	0xc	Deck_ResetFirst
0x08013f68	0x2c	InitScene2LayerB
0x08013f94	0xa	UpdateStatusBar
0x08013fa0	0x2c	BgTilemap_LoadScreen
0x08013fcc	0x2	sub_08013FCC
0x08013fd0	0x50	InitBgTransferQueues
0x08014020	0x38	InitScene2LayerC
0x08014058	0xc	ClearQueueSeed
0x08014064	0x12	Engine_Update
0x08014078	0x28	Scene_InitSpriteEngine
0x080140a0	0x9e	AnimState_Init
0x08014140	0x194	AnimState_BlitStep
0x080142d4	0x98	GateRoom_UpdateSlide
0x0801436c	0xb3c	Gate_RunAnimSequence
0x08014ea8	0x40	Display_ResetLayers
0x08014ee8	0x15c	EnemySpawn_ProcessWaveA
0x08015044	0x150	EnemySpawn_ProcessWaveB
0x08015194	0x8c	ScrollBlit_ResetLayers
0x08015220	0x90	sub_08015220
0x080152b0	0x1ec	Screen_LoadForMode
0x0801549c	0x154	SceneLoad_DmaUpdate
0x080155f0	0x26c	Scenery_BlitAndCyclePalette
0x0801585c	0xd2	Scenery_UpdateSelectorCells
0x08015930	0x80	Tilemap_DispatchPendingBlits
0x080159b0	0x50	Scenery_InitScrollState
0x08015a00	0x2c	BgTilemap_LoadScene
0x08015a2c	0x24	Scene_Update
0x08015a50	0x30	BgTilemap_DmaVariantA
0x08015a80	0x30	BgTilemap_DmaVariantB
0x08015ab0	0x24	Scene_Init
0x08015ad4	0x4a	Scene_UpdateFrame
0x08015b20	0x4c	FlushFramebufferBank
0x08015b6c	0xb8	BlitSpriteRect
0x08015c24	0x98	BlitTilesRect
0x08015cbc	0x74	DmaFrameJob_Advance
0x08015d30	0x24	GateRoom_InitScrollParams
0x08015d54	0x30	SetBgPriorities
0x08015d84	0x70	Scenery_BlitVariant
0x08015df4	0x6c	Scenery_CyclePalette
0x08015e60	0x42	Scenery_UpdatePhase
0x08015ea4	0x2	ScrollCamera_NopA
0x08015ea8	0x18	ScrollCamera_Reset
0x08015ec0	0x2	ScrollCamera_NopB
0x08015ec4	0xd8	sub_08015EC4
0x08015f9c	0xd8	sub_08015F9C
0x08016074	0xf8	sub_08016074
0x0801616c	0xb0	sub_0801616C
0x0801621c	0x80	Mode4_BlitRect
0x0801629c	0x60	sub_0801629C
0x080162fc	0x64	sub_080162FC
0x08016360	0xa4	EntitySlots_Init
0x08016404	0x24c	UpdateColumnClipSpans
0x08016650	0x1d4	Icon_LoadFrameByMode
0x08016824	0x7c	TileBlit_DrawEntry
0x080168a0	0x88	Icon_DmaLoadSprite
0x08016928	0x94	Icon_DmaUpdateSprite
0x080169bc	0x84	StatusBar_DrawTile24
0x08016a40	0x5c0	StatusBar_Update
0x08017000	0x2f4	FrogStatusBar_Update
0x080172f4	0x6e	SaveDetect
0x08017364	0x208	SaveLoad
0x0801756c	0x1a4	SaveCommit
0x08017710	0x90	sub_08017710
0x080177a0	0x38	SaveReadHeader
0x080177d8	0x3a	SaveWriteHeader
0x08017814	0x42	SaveReadSlot
0x08017858	0x44	SaveWriteSlot
0x0801789c	0x60	SaveWriteBlocks
0x080178fc	0x3c	SaveReadBlocks
0x08017938	0x2	sub_08017938
0x0801793c	0x7c	GameMode_Attract
0x080179b8	0xce	ScriptTick
0x08017a88	0x20	Attract_StepFinish
0x08017aa8	0x12	Attract_Cleanup
0x08017abc	0xac	UiScreen_Init
0x08017b68	0x94	sub_08017B68
0x08017bfc	0x114	Menu25_LoadAssets
0x08017d10	0xa8	Menu25_WaitAndBlink
0x08017db8	0x114	Menu25_HandleInput
0x08017ecc	0x34	Menu25_SetupRects
0x08017f00	0xc4	Menu25_InstallBg
0x08017fc4	0x1c4	sub_08017FC4
0x08018188	0x48	Menu_ApplyCursorRoute
0x080181d0	0xb4	FrogSelect_LoadCharTilemap
0x08018284	0x48	FrogSelect_InitDispatch
0x080182cc	0x7c	CreditsMenu_HandleInputA
0x08018348	0x88	CreditsScreen_Init
0x080183d0	0x7c	CreditsMenu_HandleInputB
0x0801844c	0x90	Bg_InitMode0
0x080184dc	0xe4	Tilemap_SwapPalette
0x080185c0	0x88	Sprite_CycleDmaFrame
0x08018648	0x250	Screen_InstallOamA
0x08018898	0x374	Screen_Install
0x08018c0c	0x9c	Screen_ClearBlocks
0x08018ca8	0x248	WinPoseScreen_LoadSprites
0x08018ef0	0x124	WinPoseScreen_UpdateAnim
0x08019014	0x214	WinPoseScreen_ScrollStep
0x08019228	0x104	WinPoseScreen_AnimAndScroll
0x0801932c	0xac	TitleLogo_Display
0x080193d8	0x48	Menu25_InitKeyTable
0x08019420	0xe0	Menu25_PollInput
0x08019500	0x3e	GameMode_Router
0x08019540	0x20	GameMode_Menu26
0x08019560	0x20	GameMode_Menu25
0x08019580	0x44	Menu25_WaitFadeIn
0x080195c4	0x88	Menu25_ReloadStatusBarBg
0x0801964c	0x1c	Menu25_ResetAfterFade
0x08019668	0x10	Menu25_AdvanceSubstate
0x08019678	0x28	Menu25_AdvanceAndReturn
0x080196a0	0x28	Menu25_ReturnToRouter
0x080196c8	0x20	Menu25_Enter
0x080196e8	0x2	Menu25_Nop
0x080196ec	0x90	TileBlit
0x0801977c	0xb8	BgTilemap_BlitRectClipped
0x08019834	0x74	Sprite_AnimateFlip
0x080198a8	0xae	Sprite_AnimateFlipWithShadow
0x08019958	0xc	SetCurrentLevel
0x08019964	0x20	TitleScene_InitRng
0x08019984	0x60	FrogSelect_ValidateSelection
0x080199e4	0x30	FrogSelect_ClearInputState
0x08019a14	0xd8	sub_08019A14
0x08019aec	0x2c8	Room_StreamOamAttribs
0x08019db4	0x74	Display_RestoreState
0x08019e28	0x44	Display_EnableBg
0x08019e6c	0x84	BgBuffer_ApplyPending
0x08019ef0	0x80	LoadRoomBg3Graphics
0x08019f70	0x68	BgPlane_FillTilemap
0x08019fd8	0xcc	RoomSelect_InitDisplay
0x0801a0a4	0x120	WinPose_Init
0x0801a1c4	0xa4	MapCursor_Step
0x0801a268	0x3bc	GameMode_WorldMap
0x0801a624	0xb0	ScriptStep_Advance
0x0801a6d4	0xa0	ScrollCamera_Update
0x0801a774	0x11e	Room_InitWindowAndState
0x0801a894	0xec	IrisOpen
0x0801a980	0xe0	IrisClose
0x0801aa60	0xe4	Credits_DmaLoadTiles
0x0801ab44	0x140	LevelSelect_Enter
0x0801ac84	0x8c	Credits_InitStateA
0x0801ad10	0x98	Credits_InitStateB
0x0801ada8	0x304	Credits_RunScript
0x0801b0ac	0x50	Entity_UpdateAndRender
0x0801b0fc	0x58	Scene_StartTransition
0x0801b154	0x32	GetHighestUnlockedWorld
0x0801b188	0x2a	CountHighestBit
0x0801b1b4	0x70	Room_LoadTilesAndPalette
0x0801b224	0x50	CreditsRoll_StepThrottled
0x0801b274	0x2	sub_0801B274
0x0801b278	0x94	WorldMap_DrawPathTiles
0x0801b30c	0x68	WorldMap_SetPathTile
0x0801b374	0xbc	sub_0801B374
0x0801b430	0xe4	Room_LoadSpriteTiles
0x0801b514	0x10c	RunWorldSelectTransition
0x0801b620	0x74	sub_0801B620
0x0801b694	0x88	sub_0801B694
0x0801b71c	0x238	sub_0801B71C
0x0801b954	0x90	Scene_SetupWindows
0x0801b9e4	0x50	Credits_StepThrottled
0x0801ba34	0x94	Credits_InitScene
0x0801bac8	0xe	Level_LoadLayout
0x0801bad8	0x2	Credits_PreInitHook
0x0801badc	0x3c	LoadWorldLevelLayoutAlt
0x0801bb18	0x2	Level_PreLoadHook
0x0801bb1c	0x38	LoadWorldLevelLayout
0x0801bb54	0x328	ShowWinLoseMessage
0x0801be7c	0x1fa	DrawTextGlyphs
0x0801c078	0x23a	DrawTilemapString
0x0801c2b4	0x1ae	DrawNumber
0x0801c464	0x94	HUD_DrawStampIcons
0x0801c4f8	0x1a4	HUD_DrawStatus
0x0801c69c	0x60	HUD_ClearScreen
0x0801c6fc	0x204	sub_0801C6FC
0x0801c900	0x40c	Scene_DrawWindow
0x0801cd0c	0x1b4	UiWindow_DrawBordered
0x0801cec0	0x58	ParseDecimalStr
0x0801cf18	0x88	DrawByteDecimal
